epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1140.92,1.05279,1.07504,1.16278,0.83446,0.8,0.75115,0.40962,1.73411,1.44579,1.6435,0.0009605,0.0009605,0.0009605
44,1166.97,1.09833,1.04175,1.16104,0.78715,0.8,0.70375,0.36971,1.77178,1.42339,1.5682,0.00093575,0.00093575,0.00093575
45,1193.11,1.12265,1.01112,1.12515,0.84288,0.85,0.76102,0.38442,1.6926,1.42956,1.593,0.000911,0.000911,0.000911
46,1219.52,1.09632,0.9555,1.11369,0.79647,0.8,0.6874,0.35895,1.77448,1.3796,1.71819,0.00088625,0.00088625,0.00088625
47,1245.28,1.14187,1.00535,1.14178,0.79476,0.8,0.70718,0.36344,1.82969,1.38171,1.76685,0.0008615,0.0008615,0.0008615
48,1271.17,1.0947,1.05386,1.15445,0.79509,0.8,0.67747,0.38076,1.76746,1.33896,1.79673,0.00083675,0.00083675,0.00083675
49,1296.79,1.10005,1.0344,1.13705,0.84401,0.85,0.73317,0.34759,1.78449,1.3956,1.75505,0.000812,0.000812,0.000812
50,1322.9,1.05485,0.98741,1.11991,0.84406,0.85,0.74921,0.38634,1.80177,1.31325,1.71911,0.00078725,0.00078725,0.00078725
51,1348.64,1.05447,1.01232,1.1094,0.84636,0.85,0.76001,0.35869,1.80722,1.32227,1.68175,0.0007625,0.0007625,0.0007625
52,1374.66,1.04986,0.91937,1.07282,0.79142,0.8,0.74037,0.35562,1.89059,1.31739,1.73154,0.00073775,0.00073775,0.00073775
53,1400.64,1.14401,0.97124,1.16406,0.78885,0.8,0.75052,0.38158,1.78447,1.29303,1.69657,0.000713,0.000713,0.000713
54,1426.06,0.99381,0.94141,1.11685,0.79397,0.8,0.75415,0.40693,1.72157,1.26647,1.6303,0.00068825,0.00068825,0.00068825
55,1451.95,0.95604,0.92195,1.07087,0.74409,0.8,0.71501,0.40417,1.75405,1.25397,1.64518,0.0006635,0.0006635,0.0006635
56,1477.95,1.02205,0.89534,1.10013,0.79563,0.8,0.72496,0.37261,1.9162,1.25874,1.73267,0.00063875,0.00063875,0.00063875
57,1504.09,1.07395,0.9072,1.11189,0.8382,0.85,0.77224,0.38783,1.82701,1.20376,1.70334,0.000614,0.000614,0.000614
58,1530.6,1.11702,0.88102,1.16287,0.84155,0.85,0.77807,0.41643,1.74519,1.17922,1.67581,0.00058925,0.00058925,0.00058925
59,1556.56,1.01712,0.8789,1.08225,0.84296,0.85,0.77858,0.43078,1.70971,1.17426,1.68201,0.0005645,0.0005645,0.0005645
60,1582.35,1.01473,0.84696,1.07834,0.83582,0.85,0.77183,0.3637,1.908,1.22008,1.86337,0.00053975,0.00053975,0.00053975
61,1608.23,0.93657,0.84229,1.07715,0.81539,0.85,0.78155,0.371,1.9384,1.24182,1.88529,0.000515,0.000515,0.000515
