epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
3,92.3381,1.77457,3.07397,1.75038,0.003,0.9,0.01806,0.0055,1.32854,4.40705,1.34962,0.00027307,0.00027307,0.00027307
4,120.773,1.56872,2.88017,1.50607,0.003,0.9,0.02133,0.01018,1.53321,4.53314,1.36874,0.000365893,0.000365893,0.000365893
5,150.787,1.42705,2.52359,1.37044,0.00267,0.8,0.13166,0.08465,1.50667,4.4219,1.31869,0.00045624,0.00045624,0.00045624
